Key,Value
BPM,60.0000
StartTime,13.2119
scoreCounter,77.0000
Alpha,Low
alphaUser,0.0100
alphaAuto,0.0080
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,14.8542,17.1016,18.1879,19.2277,20.2560,21.7513,22.7779,23.8068,24.8275,25.8490,26.8704,27.8940,28.9166,29.9402,30.9631,31.9856,33.0073,34.0340,35.0567,36.0796,37.1012,38.1221,39.1463,40.1698,41.1924,42.2197,43.2447,44.2699,45.2923,46.3160,47.3397,48.3626,49.3862,50.4084,51.4319,52.4540,53.4795,54.5000,55.5224,56.5447,57.5641,58.5896,59.6144,60.6376,61.6614,62.6841,63.7063,64.7287,65.7505,66.7729,67.7996,68.8232,69.8467,70.8710,71.8911,72.9166,73.9375,74.9611,75.9855,77.0100,78.0343,79.0597,80.0797,81.1005,82.1253,83.1496,84.1728,85.1981,86.2201,87.2400,88.2609,89.2873,90.3114,91.3356,92.3641,93.3909,94.4154
Mean Interval List,0.0000,1.0141,1.0025,1.0017,1.0012,1.0009,0.9964,0.9968,0.9965,0.9970,0.9965,0.9969,0.9973,0.9976,0.9978,0.9977,0.9983,0.9981,0.9975,0.9976,0.9983,0.9987,0.9984,0.9980,1.0003,0.9978,0.9980,0.9982,0.9974,0.9971,0.9970,0.9972,0.9982,0.9984,0.9985,0.9984,0.9982,0.9983,0.9982,0.9987,0.9983,0.9983,0.9996,0.9977,0.9982,0.9987,0.9981,0.9983,0.9981,0.9979,0.9977,0.9977,0.9982,0.9976,0.9977,0.9983,0.9985,0.9978,0.9979,0.9978,0.9973,0.9979,0.9980,0.9992,0.9976,0.9983,0.9981,0.9977,0.9981,0.9980,0.9984,0.9985,0.9978,0.9985,0.9978,0.9983,0.9987
Timestamps,2.3259,3.1447,4.1584,5.1836,6.9406,8.0063,10.2045,11.4519,12.2428,13.2119,14.1673,15.2209,16.2476,17.3349,18.3429,19.3298,20.3296,21.3758,22.4492,23.4448,24.5209,25.4930,26.5568,27.6259,28.6843,29.7245,30.7481,31.8292,32.8302,33.8033,34.8335,35.9299,36.9942,37.9824,38.9690,40.2254,40.9971,42.0497,43.0933,44.0370,45.0357,46.0492,47.0992,48.2193,49.2678,50.3015,51.3125,52.3213,53.3600,54.3650,55.4358,56.4238,57.4437,58.5978,59.4349,60.5126,61.5880,62.5471,63.5903,64.5989,65.6013,66.6065,67.6292,68.7071,69.6770,70.7121,71.7897,72.8382,73.7861,74.8232,75.8409,76.8143,77.8961,78.9418,79.9799,80.0818,80.9406,82.0362,83.0375,84.0266,85.0900,86.1005,87.1646,88.1950,89.1512,90.2531,91.2020,92.2824,93.3489,94.3640
