Key,Value
BPM,120.0000
StartTime,21.2211
scoreCounter,63.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,22.8519,25.0996,25.8155,26.3656,26.8890,27.5852,28.2061,28.7809,29.3493,30.1557,30.8986,31.5226,32.2495,32.7880,33.5218,34.2332,34.8025,35.3327,35.8621,36.3911,36.9190,37.4470,37.9744,38.4990,39.0229,39.5481,40.0730,40.5987,41.1250,41.6528,42.1789,42.7065,43.2333,43.7624,44.2930,44.8201,45.3506,45.8781,46.4046,46.9315,47.4588,47.9872,48.5162,49.0449,49.5720,50.0980,50.6216,51.1468,51.6747,52.2051,52.7376,53.2653,53.7922,54.3183,54.8464,55.3756,55.9014,56.4304,56.9610,57.4908,58.0154,58.5454,59.0730
Mean Interval List,0.0000,0.6004,0.5137,0.5031,0.5020,0.5030,0.4933,0.5141,0.5129,0.5115,0.4977,0.4865,0.5080,0.4978,0.4981,0.5135,0.5037,0.5030,0.5034,0.5017,0.5009,0.4994,0.4987,0.4962,0.4980,0.4989,0.4994,0.5005,0.5005,0.4995,0.5008,0.5005,0.5025,0.5025,0.5031,0.5009,0.5002,0.4997,0.5014,0.5010,0.5017,0.5009,0.5013,0.5004,0.5009,0.4990,0.4988,0.4997,0.5010,0.5003,0.5013,0.5009,0.5013,0.5009,0.5001,0.5008,0.5011,0.5013,0.5016,0.4997,0.5009,0.4995,0.5007
Player1OnsetTimes,1.9697,2.5160,3.0292,3.5861,4.1094,4.6264,5.1409,5.6376,6.1441,6.6125,7.0381,7.5659,8.1255,8.6309,9.1663,9.6918,10.2299,10.7418,11.2986,11.8069,12.3654,12.8725,13.4005,13.9329,14.4765,14.9651,15.4654,15.9592,16.6615,17.1435,17.6520,18.1573,18.6833,19.1764,19.6683,20.1809,20.7052,21.2211,21.6442,22.1805,22.7067,23.2044,23.7420,24.2744,24.8565,25.3689,25.8733,26.4007,26.9440,27.4464,27.9868,28.4826,29.0328,29.5728,30.1034,30.6224,31.1883,31.6777,32.2000,32.7443,33.2840,33.7856,34.3006,34.8570,35.3951,35.8905,36.4034,36.8996,37.4143,37.8929,38.4537,38.9944,39.5304,40.0761,40.6028,41.1098,41.6626,42.1831,42.7505,43.2763,43.8175,44.3051,44.8185,45.3392,45.8987,46.4186,46.9588,47.4705,48.0058,48.5175,49.0569,49.5464,50.0679,50.6100,51.1612,51.6736,52.2241,52.7494,53.2856,53.8028,54.3128,54.8565,55.3907,55.9210,56.4549,56.9487,57.5026,57.9982,58.5536,59.0196
Player2OnsetTimes,23.5863,25.1513,25.6775,26.1678,26.7891,27.4464,28.0376,28.6616,29.3184,29.9425,31.0791,31.7739,32.1660,32.5135,33.6797,34.4077,34.8382,35.2390,35.7338,36.3318,36.9503,37.5217,38.0188,38.4887,38.9748,39.5104,40.0761,40.6375,41.1617,41.6626,42.1637,42.6776,43.2067,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,58.0147,58.5536,59.0766
Player3OnsetTimes,23.0241,25.1098,25.6071,26.1283,26.8018,27.5079,28.1071,28.6780,29.3012,29.9252,31.0964,31.7917,32.1660,32.5135,33.6975,34.4239,34.8382,35.2390,35.7524,36.3482,36.9663,37.5384,38.0358,38.5060,38.9944,39.5104,40.0563,40.6200,41.1617,41.6791,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
Player4OnsetTimes,22.3252,24.9248,25.9272,26.5941,27.0376,27.3993,28.2488,28.9065,29.4100,30.3159,30.8196,31.2219,32.3551,33.1074,33.5535,34.1241,34.6489,35.2567,35.8905,36.4720,36.9837,37.4495,37.9281,38.4537,39.0122,39.5652,40.0947,40.6200,41.1264,41.6427,42.1637,42.6956,43.2409,43.7802,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,58.0147,58.5536,59.0766
Player5OnsetTimes,22.7635,25.3689,26.0597,26.4007,26.7371,27.7269,28.3736,28.7857,29.1937,30.2627,30.9070,31.3446,32.3385,33.0044,33.4648,34.1764,34.7520,35.3126,35.8729,36.4202,36.9322,37.4320,37.9455,38.4706,39.0122,39.5482,40.0761,40.6028,41.1264,41.6427,42.1637,42.6956,43.2230,43.7627,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player6OnsetTimes,22.7067,25.3243,26.0473,26.4127,26.7626,27.7269,28.3546,28.7678,29.1937,30.2812,30.9233,31.3446,32.3206,32.9872,33.4481,34.1942,34.7866,35.3448,35.8729,36.3847,36.8996,37.4320,37.9635,38.4887,39.0122,39.5482,40.0761,40.6028,41.1264,41.6427,42.1637,42.6956,43.2230,43.7627,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player7OnsetTimes,22.7067,25.3243,26.0473,26.4127,26.7626,27.7269,28.3546,28.7678,29.1937,30.2812,30.9233,31.3446,32.3206,32.9872,33.4481,34.1942,34.7866,35.3448,35.8729,36.3847,36.8996,37.4320,37.9635,38.4887,39.0122,39.5482,40.0761,40.6028,41.1264,41.6427,42.1637,42.6956,43.2230,43.7627,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player8OnsetTimes,22.7067,25.3243,26.0473,26.4127,26.7626,27.7269,28.3546,28.7678,29.1937,30.2812,30.9233,31.3446,32.3206,32.9872,33.4481,34.1942,34.7866,35.3448,35.8729,36.3847,36.8996,37.4320,37.9635,38.4887,39.0122,39.5482,40.0761,40.6028,41.1264,41.6427,42.1637,42.6956,43.2230,43.7627,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
