Key,Value
BPM,60.0000
StartTime,31.0950
scoreCounter,48.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,32.7532,34.6684,35.7751,36.9523,37.9726,39.5526,40.9996,42.2993,43.7995,44.9720,46.3868,47.4710,48.9730,50.3414,51.5145,52.7866,53.8823,54.9092,56.5405,57.8940,59.0123,60.2253,61.2715,62.3760,63.4042,64.4433,65.4611,66.4731,67.4798,68.4876,69.4929,70.5010,71.5099,72.5153,73.5264,74.5367,75.5469,76.5598,77.5769,78.5925,79.6084,80.6259,81.6415,82.6565,83.6757,84.6891,85.7047,86.7162
Mean Interval List,0.0000,1.0552,1.0053,0.9967,0.9832,1.0318,1.0052,1.0287,1.0153,0.9892,1.0304,1.0098,0.9990,1.0222,0.9992,0.9921,0.9852,0.9806,1.0295,0.9960,1.0260,1.0230,1.0102,1.0052,0.9998,0.9940,0.9875,0.9849,0.9838,0.9834,0.9839,0.9862,0.9841,0.9868,0.9865,0.9877,0.9886,0.9931,0.9930,0.9932,0.9907,0.9920,0.9913,0.9941,0.9910,0.9939,0.9900,0.9904
Timestamps,22.8906,23.3100,24.0523,24.9901,25.8349,26.8957,27.8728,28.9959,30.1095,31.0950,31.9400,32.9303,33.8547,34.7726,35.7067,36.6146,37.6108,38.6064,39.6540,40.5999,41.5690,42.5998,43.5797,44.6263,45.5753,46.5766,47.4457,48.4235,49.4104,50.3192,51.3506,52.4858,53.4884,54.4934,55.4939,56.4554,57.4483,58.4061,59.4645,60.4203,61.3674,62.3633,63.2756,64.1861,65.1514,66.1426,67.1425,68.1611,69.2121,70.1794,71.2424,72.2418,73.2787,74.3067,75.4077,76.4179,77.4407,78.4061,79.4480,80.4524,81.5236,82.4765,83.5541,84.4908,85.5133,86.4199
Player1OnsetTimes,32.3035,34.9151,36.3180,37.1760,37.8022,39.4694,40.6452,42.8029,44.1049,44.7784,46.3474,47.5396,48.5945,50.5336,51.8480,52.7305,53.5061,54.5565,57.0997,58.4061,59.0290,60.3583,61.3821,62.3154,63.2447,64.2953,65.4154,66.5271,67.5535,68.5150,69.4594,70.4431,71.4743,72.5096,73.5377,74.5377,75.5312,76.5306,77.5549,78.5760,79.6020,80.6153,81.6310,82.6483,83.6683,84.6758,85.6857,86.6952
Player2OnsetTimes,32.5941,34.6931,35.8919,36.9030,37.8330,39.9287,41.0927,41.8494,43.8160,45.1748,46.1788,47.0908,49.4565,50.7639,51.4600,52.8873,53.9343,54.8628,56.7818,57.8629,58.7070,59.7743,61.0427,62.4095,63.6126,64.6173,65.4816,66.3724,67.3695,68.4534,69.5372,70.5656,71.5364,72.4942,73.4914,74.5221,75.5615,76.5921,77.6011,78.5907,79.5868,80.6153,81.6475,82.6644,83.6835,84.6910,85.7002,86.7106
Player3OnsetTimes,32.3035,34.9151,36.3180,37.1760,37.8022,39.4694,40.6452,42.8029,44.1049,44.7784,46.3474,47.5396,48.5945,50.5336,51.8480,52.7305,53.5061,54.5565,57.0997,58.4061,59.0290,60.3583,61.3821,62.3154,63.2447,64.2953,65.4154,66.5271,67.5535,68.5150,69.4594,70.4431,71.4743,72.5096,73.5377,74.5377,75.5312,76.5306,77.5549,78.5760,79.6020,80.6153,81.6310,82.6483,83.6683,84.6758,85.6857,86.6952
Player4OnsetTimes,32.4262,34.5090,35.8321,36.9799,37.9672,39.9444,41.0011,41.7429,43.8324,45.2811,46.2711,47.1055,49.3469,50.6395,51.4117,53.0197,54.1045,54.9394,56.6271,57.6498,58.6070,59.8356,61.1834,62.5015,63.5974,64.5410,65.4154,66.3570,67.3999,68.4996,69.5685,70.5656,71.5214,72.4791,73.4914,74.5377,75.5765,76.5921,77.5856,78.5760,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player5OnsetTimes,32.4412,34.5240,35.8321,36.9650,37.9525,39.9593,41.0313,41.7581,43.8160,45.2513,46.2560,47.1055,49.3627,50.6537,51.4291,53.0197,54.1045,54.9394,56.6271,57.6498,58.6070,59.8356,61.1834,62.5015,63.5974,64.5410,65.4154,66.3570,67.3999,68.4996,69.5685,70.5656,71.5214,72.4791,73.4757,74.5221,75.5765,76.6072,77.6011,78.5907,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player6OnsetTimes,32.4262,34.5090,35.8321,36.9799,37.9672,39.9444,41.0011,41.7429,43.8324,45.2811,46.2711,47.1055,49.3469,50.6395,51.4117,53.0197,54.1045,54.9394,56.6271,57.6498,58.6070,59.8356,61.1834,62.5015,63.5974,64.5410,65.4154,66.3570,67.3999,68.4996,69.5685,70.5656,71.5214,72.4791,73.4914,74.5377,75.5765,76.5921,77.5856,78.5760,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player7OnsetTimes,33.6234,34.6774,35.1209,37.1465,38.6369,39.4996,40.6300,42.7409,44.0563,44.7632,46.3920,47.5870,48.6100,50.4564,51.7547,52.6846,53.5229,54.5881,57.0997,58.3737,58.9742,60.3583,61.4125,62.3311,63.2447,64.2802,65.4002,66.5121,67.5535,68.5150,69.4594,70.4274,71.4435,72.4942,73.5377,74.5533,75.5463,76.5306,77.5392,78.5605,79.5868,80.6153,81.6310,82.6483,83.6683,84.6758,85.6857,86.6952
Player8OnsetTimes,32.3035,34.9151,36.3180,37.1760,37.8022,39.4694,40.6452,42.8029,44.1049,44.7784,46.3474,47.5396,48.5945,50.5336,51.8480,52.7305,53.5061,54.5565,57.0997,58.4061,59.0290,60.3583,61.3821,62.3154,63.2447,64.2953,65.4154,66.5271,67.5535,68.5150,69.4594,70.4431,71.4743,72.5096,73.5377,74.5377,75.5312,76.5306,77.5549,78.5760,79.6020,80.6153,81.6310,82.6483,83.6683,84.6758,85.6857,86.6952
Player9OnsetTimes,33.0927,34.6626,35.4908,36.5210,37.7462,39.0719,41.5215,42.9121,43.5946,44.7936,45.9492,47.1388,48.5014,49.7782,51.1788,52.6245,53.9042,55.0560,56.0685,58.0019,59.3856,60.3884,61.1834,62.1264,63.2447,64.4795,65.6387,66.6500,67.5535,68.4534,69.4288,70.4889,71.5669,72.6004,73.5996,74.5698,75.5463,76.5612,77.6011,78.6380,79.6639,80.6624,81.6631,82.6644,83.6835,84.7063,85.7318,86.7648
Player10OnsetTimes,34.2263,34.7549,35.2762,37.1760,38.5456,39.3776,40.6300,41.7731,44.3813,45.7920,46.3771,47.2613,49.3006,50.4564,51.2416,53.0682,54.2567,55.0399,56.4554,57.3864,58.4386,59.8356,61.2740,62.5776,63.5974,64.4643,65.3219,66.2960,67.3850,68.4996,69.5685,70.5505,71.4895,72.4495,73.4606,74.5074,75.5463,76.5612,77.5699,78.5760,79.5868,80.6008,81.6143,82.6327,83.6683,84.6910,85.7002,86.6952
Player11OnsetTimes,32.7170,34.8037,35.9068,36.8412,37.7640,39.9444,41.1538,41.8951,43.7667,45.0983,46.1324,47.0908,49.5193,50.8255,51.4755,52.8092,53.8438,54.8328,56.8899,58.0019,58.7543,60.6680,61.8903,62.5928,63.1517,64.8462,66.0286,66.7281,67.3080,68.0985,69.1961,70.4588,71.6605,72.6779,73.5531,74.4303,75.3920,76.4645,77.5699,78.6380,79.6338,80.6008,81.5843,82.5982,83.6445,84.6758,85.7002,86.7106
Player12OnsetTimes,33.1522,34.7243,35.5053,36.4902,37.7004,39.0409,41.5524,42.9591,43.6097,44.7330,45.8886,47.1213,48.5177,49.8094,51.1949,52.6245,53.8893,55.0399,56.0685,58.0342,59.4167,60.3884,61.1685,62.1101,63.2294,64.4643,65.6387,66.6652,67.5681,68.4534,69.4135,70.4739,71.5669,72.6167,73.6160,74.5698,75.5312,76.5465,77.6011,78.6541,79.6789,80.6624,81.6475,82.6483,83.6835,84.7220,85.7472,86.7648
Player13OnsetTimes,32.6704,34.7726,35.9068,36.8565,37.7872,39.9444,41.1382,41.8802,43.7828,45.1291,46.1478,47.0908,49.5038,50.8097,51.4755,52.8413,53.8746,54.8328,56.8438,57.9537,58.7386,60.7427,61.9801,62.6233,63.1214,64.7702,65.9670,66.7281,67.3391,68.1292,69.2121,70.4588,71.6452,72.6626,73.5531,74.4303,75.3920,76.4645,77.5699,78.6380,79.6491,80.6153,81.5843,82.5831,83.6142,84.6601,85.7002,86.7106
Player14OnsetTimes,32.6236,34.7243,35.8919,36.8870,37.8177,39.9287,41.0927,41.8494,43.8160,45.1748,46.1788,47.0908,49.4565,50.7639,51.4600,52.8873,53.9343,54.8628,56.7818,57.8629,58.7070,59.7743,61.0427,62.4095,63.6126,64.6173,65.4816,66.3724,67.3695,68.4534,69.5372,70.5656,71.5364,72.4942,73.4914,74.5221,75.5615,76.5921,77.6011,78.5907,79.5868,80.6153,81.6475,82.6644,83.6835,84.6910,85.7002,86.7106
Player15OnsetTimes,32.5022,34.5848,35.8471,36.9340,37.9070,39.9444,41.0469,41.7887,43.8160,45.2201,46.2256,47.1055,49.4104,50.7023,51.4291,52.9579,54.0273,54.9077,56.7051,57.7572,58.6567,59.8053,61.1045,62.4409,63.5974,64.5715,65.4480,66.3724,67.3850,68.4684,69.5527,70.5888,71.5515,72.4942,73.4757,74.5074,75.5615,76.5921,77.6011,78.5907,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player16OnsetTimes,32.2439,34.8501,36.3033,37.2057,37.8479,39.4844,40.6300,42.7875,44.1049,44.7936,46.3625,47.5396,48.5780,50.5183,51.8480,52.7462,53.5229,54.5565,57.0839,58.3895,59.0053,60.3583,61.3971,62.3311,63.2591,64.2953,65.4154,66.5271,67.5535,68.5150,69.4594,70.4431,71.4743,72.5096,73.5377,74.5377,75.5312,76.5306,77.5549,78.5907,79.6176,80.6304,81.6310,82.6327,83.6445,84.6758,85.7002,86.7106
Player17OnsetTimes,32.3961,34.4760,35.8152,36.9799,37.9828,39.9593,41.0163,41.7581,43.8487,45.2811,46.2560,47.0908,49.3469,50.6537,51.4291,53.0197,54.1045,54.9394,56.6271,57.6498,58.6070,59.8356,61.1834,62.5015,63.5974,64.5410,65.4154,66.3570,67.3999,68.4996,69.5685,70.5656,71.5214,72.4791,73.4914,74.5377,75.5765,76.5921,77.5856,78.5760,79.5868,80.6153,81.6475,82.6800,83.6981,84.6910,85.7002,86.7106
Player18OnsetTimes,32.5327,34.6469,35.8919,36.9340,37.8621,39.8982,41.0313,41.8035,43.8642,45.2658,46.2406,47.0908,49.3780,50.6874,51.4450,52.9882,54.0585,54.9241,56.6734,57.7115,58.6222,59.8053,61.1375,62.4709,63.5974,64.5566,65.4315,66.3570,67.3850,68.4836,69.5685,70.5888,71.5515,72.4942,73.4757,74.5074,75.5615,76.5921,77.6011,78.5907,79.5868,80.6153,81.6475,82.6644,83.6835,84.6910,85.7002,86.7106
Player19OnsetTimes,33.2905,34.8501,35.5357,36.4292,37.6108,38.9932,41.6315,43.0670,43.6711,44.6263,46.8382,48.1364,48.8467,49.9030,51.0366,52.3634,53.7228,55.0399,56.1614,58.0950,59.4019,60.3131,61.0722,62.0488,63.2294,64.4943,65.6544,66.6347,67.5069,68.4081,69.3978,70.4739,71.5515,72.5850,73.5683,74.5377,75.5159,76.5306,77.5699,78.6072,79.6338,80.6466,81.6475,82.6483,83.6683,84.6910,85.7167,86.7261
Player20OnsetTimes,32.7323,34.8184,35.9068,36.8261,37.7462,39.9287,41.1538,41.9100,43.7828,45.0983,46.1171,47.0751,49.5345,50.8413,51.4755,52.7782,53.8140,54.8173,56.9198,58.0342,58.7713,60.6522,61.8602,62.5776,63.1663,64.0338,65.2120,66.5121,67.6915,68.6554,69.4911,70.3655,71.3664,72.4641,73.5683,74.6006,75.5765,76.5306,77.5087,78.5301,79.5868,80.6304,81.6475,82.6483,83.6445,84.6601,85.6857,86.7106
Player21OnsetTimes,32.8377,34.4139,35.4345,36.6445,37.9070,39.1476,41.3675,42.7077,43.5033,45.0074,46.2406,47.2766,48.4235,50.7639,52.2197,52.9579,53.4716,55.2583,56.5654,57.3702,59.3856,60.8182,61.6016,62.2056,63.0004,64.1394,65.4480,66.6807,67.7075,68.5613,69.3978,70.3501,71.4274,72.5397,73.6160,74.6152,75.5615,76.5141,77.5239,78.5760,79.6338,80.6624,81.6631,82.6483,83.6445,84.6601,85.7002,86.7490
Player22OnsetTimes,33.8078,34.8501,35.1507,36.9188,38.3766,39.4087,40.9247,42.0522,43.1497,45.5753,47.0572,47.6631,48.7311,50.4722,51.6771,52.5941,53.4716,54.6033,55.8980,57.1643,58.6567,60.2359,61.5531,62.5928,63.4305,64.3106,65.3219,66.4351,67.5535,68.5931,69.5527,70.4889,71.4586,72.4791,73.5377,74.5849,75.5919,76.5770,77.5699,78.5760,79.6020,80.6304,81.6631,82.6800,83.6835,84.6910,85.7167,86.7490
