Key,Value
BPM,60.0000
StartTime,11.4581
scoreCounter,51.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,13.1020,15.2150,16.3341,17.4331,18.4575,19.9630,21.3442,22.3971,23.5171,24.5575,25.5948,26.6285,27.6622,28.6964,29.7261,30.7511,31.7715,32.7898,33.8017,34.8123,35.8208,36.8355,37.8520,38.8689,39.8868,40.9023,41.9183,42.9319,43.9497,44.9654,45.9849,47.0001,48.0214,49.0406,50.0692,51.0922,52.1218,53.1463,54.1663,55.1922,56.2132,57.2366,58.2554,59.2718,60.2894,61.3072,62.3250,63.3403,64.3465,65.3498,66.3436
Mean Interval List,0.0000,1.0675,1.0118,1.0058,1.0054,1.0077,0.9815,1.0200,1.0219,1.0181,1.0155,1.0151,1.0170,1.0122,1.0067,1.0028,1.0003,0.9950,0.9921,0.9907,0.9966,0.9984,1.0004,1.0001,0.9976,0.9978,0.9955,0.9988,0.9966,1.0003,0.9969,0.9994,0.9978,0.9982,0.9992,1.0009,1.0018,1.0005,0.9983,0.9983,0.9974,0.9983,0.9963,0.9953,0.9952,0.9961,0.9923,0.9831,0.9791,0.9665,0.9845
Timestamps,2.2691,3.2949,4.3424,5.3096,6.2813,7.3336,8.3569,9.3772,10.3816,11.4581,12.3119,13.3802,14.4492,15.4470,16.4463,17.5373,18.6072,19.5905,20.6463,21.7399,22.8305,23.8737,24.8608,25.8908,26.9614,27.8986,28.8221,29.7736,30.7488,31.6642,32.6248,33.6078,34.7364,35.7813,36.8367,37.8463,38.8143,39.8365,40.8050,41.8872,42.8571,43.9484,44.8977,45.9658,46.9500,47.9789,49.0185,50.0806,51.1216,52.1252,53.1059,54.1254,55.1341,56.1736,57.1570,58.1564,59.1714,60.2054,61.1492,61.9835,62.9189,63.6740,64.4200,65.0388,65.6056,66.1315
Player1OnsetTimes,13.0805,15.1508,16.2548,17.3309,18.4111,19.5199,21.6431,22.9732,23.7992,24.4266,25.2609,26.3842,27.6586,28.8698,29.9044,30.8091,31.7002,32.6720,33.7383,34.8337,35.8904,36.8858,37.8581,38.8373,39.8483,40.8887,41.9348,42.9621,43.9707,44.9684,45.9772,46.9854,48.0088,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player2OnsetTimes,13.2960,15.3606,16.3021,17.2207,18.2652,20.6189,21.7884,22.3115,23.7279,24.8238,25.6928,26.5268,27.4804,28.5707,29.7246,30.8333,31.8442,32.7952,33.7383,34.7364,35.7813,36.8367,37.8701,38.8744,39.8725,40.8765,41.8990,42.9267,43.9484,44.9564,45.9658,46.9738,47.9935,49.0185,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.2044,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player3OnsetTimes,13.5604,15.1155,15.8679,16.9675,18.3242,19.6878,20.8210,22.0336,23.4587,24.7755,25.8747,26.7664,27.6115,28.5588,29.6412,30.7845,31.8813,32.8921,33.8455,34.7958,35.7813,36.8235,37.8826,38.9218,39.9336,40.9245,41.9219,42.9267,43.9484,44.9798,46.0110,47.0230,48.0383,49.0494,50.0806,51.1028,52.1252,53.1564,54.1895,55.2219,56.2355,57.2517,58.2648,59.2804,60.2998,61.3244,62.3453,63.3585,64.3519,65.3548,66.3489
Player4OnsetTimes,13.4281,14.9875,15.8322,17.0280,18.4240,19.7478,20.8086,21.9720,23.4110,24.7755,25.9160,26.8144,27.6355,28.5454,29.6042,30.7488,31.8693,32.9040,33.8577,34.7958,35.7813,36.8235,37.8826,38.9218,39.9336,40.9245,41.9219,42.9393,43.9707,44.9919,46.0110,47.0230,48.0383,49.0494,50.0806,51.1028,52.1252,53.1564,54.1895,55.2219,56.2355,57.2517,58.2648,59.2804,60.2998,61.3244,62.3453,63.3585,64.3670,65.3715,66.3489
Player5OnsetTimes,13.2122,15.2836,16.2903,17.2699,18.3242,20.6076,21.7266,22.2522,23.7636,24.8974,25.7413,26.5141,27.4327,28.5342,29.7246,30.8575,31.8693,32.7952,33.7269,34.7234,35.7813,36.8489,37.8826,38.8864,39.8725,40.8650,41.8872,42.9143,43.9484,44.9684,45.9772,46.9854,48.0088,49.0337,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.2044,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3366,65.3230,66.3164
Player6OnsetTimes,12.7084,15.2954,16.6637,17.6351,18.4240,20.1818,21.2323,22.0697,23.1806,24.4625,25.7413,26.8508,27.7783,28.6538,29.6042,30.6649,31.7721,32.8556,33.8704,34.8337,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player7OnsetTimes,12.9587,15.0241,16.2189,17.3915,18.5083,19.5651,21.5462,22.8425,23.7401,24.4625,25.3322,26.4292,27.6586,28.8458,29.8802,30.7967,31.7127,32.6975,33.7497,34.8337,35.8778,36.8858,37.8581,38.8373,39.8483,40.8887,41.9348,42.9621,43.9707,44.9684,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
