Key,Value
BPM,90.0000
StartTime,73.8572
scoreCounter,50.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,75.4640,77.5146,78.3253,79.1562,79.8944,81.1419,81.9226,82.6387,83.3412,84.3606,85.0787,85.7926,86.4793,87.4400,88.1720,88.8988,89.6079,90.5050,91.2136,91.9165,92.6046,93.4125,94.0988,94.7775,95.4572,96.1422,96.8276,97.5108,98.1994,98.8851,99.5739,100.2681,100.9594,101.6479,102.3404,103.0269,103.7146,104.4038,105.0895,105.7787,106.4685,107.1567,107.8453,108.5348,109.2257,109.9146,110.6098,111.3008,111.9886,112.6771
Mean Interval List,0.0000,0.7257,0.6571,0.6850,0.6774,0.6758,0.6481,0.6787,0.6784,0.6787,0.6628,0.6621,0.6575,0.6951,0.6824,0.6839,0.6824,0.6769,0.6664,0.6641,0.6634,0.6617,0.6540,0.6566,0.6615,0.6617,0.6598,0.6638,0.6636,0.6668,0.6656,0.6652,0.6661,0.6663,0.6649,0.6651,0.6662,0.6632,0.6628,0.6663,0.6647,0.6646,0.6644,0.6641,0.6626,0.6653,0.6658,0.6636,0.6644,0.6657
Timestamps,67.7194,68.4378,69.1030,69.7772,70.4935,71.2221,71.9093,72.5210,73.1997,73.8572,74.5095,75.2121,75.9194,76.6417,77.3208,78.0257,78.6884,79.3679,80.0734,80.7680,81.4524,82.1600,82.8695,83.5785,84.2786,84.9834,85.6063,86.2588,87.0425,87.7499,88.5113,89.2072,89.8060,90.4938,91.1547,91.8450,92.4997,93.1533,93.8924,94.6686,95.3524,95.9996,96.7656,97.4444,98.1971,98.8603,99.5410,100.2527,100.9470,101.6079,102.3056,103.0130,103.6411,104.3230,105.0781,105.7363,106.4227,107.1077,107.7912,108.4512,109.1961,109.8939,110.5451,111.2531,111.9667,112.6289
Player1OnsetTimes,75.0238,77.6442,78.7193,79.3062,79.7304,80.9070,81.7181,82.5556,83.4062,84.1786,84.8351,85.6520,86.5170,87.3131,88.0087,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player2OnsetTimes,76.0931,77.6601,77.9450,79.0870,80.0734,80.8141,81.9532,82.8525,83.5300,84.6257,85.1789,85.6686,86.2741,87.7974,88.6580,89.1028,89.4479,90.5417,91.3444,91.9967,92.5793,93.1853,93.8758,94.7080,95.5407,96.2665,96.8775,97.4614,98.1025,98.8133,99.5563,100.2961,100.9771,101.6406,102.3056,102.9808,103.6871,104.4019,105.0936,105.7667,106.4380,107.1242,107.8243,108.5300,109.2269,109.9111,110.5962,111.2848,111.9667,112.6593
Player3OnsetTimes,75.0854,77.6906,78.7193,79.2748,79.7003,80.9218,81.7651,82.6025,83.4216,84.1459,84.7877,85.6367,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
Player4OnsetTimes,75.6854,77.2425,77.8344,79.6027,80.6691,81.0482,81.5640,82.3052,83.2661,84.2100,84.9651,85.7648,86.5333,87.2355,87.9136,88.7705,89.6800,90.4938,91.1547,91.8618,92.5949,93.3281,94.0376,94.7897,95.5239,96.2053,96.8457,97.4920,98.1803,98.8911,99.6034,100.2961,100.9771,101.6567,102.3364,103.0277,103.7350,104.4333,105.1088,105.7818,106.4694,107.1710,107.8711,108.5623,109.2430,109.9281,110.6207,111.3166,111.9977,112.6752
Player5OnsetTimes,75.4328,77.5140,78.2831,78.9620,79.7003,81.3842,82.2244,82.7271,83.2186,84.4841,85.2733,85.8757,86.4189,87.6573,88.4140,88.9600,89.4790,90.7913,91.5789,92.0450,92.4510,93.6094,94.3979,94.9124,95.3524,95.9208,96.6570,97.4767,98.2748,98.9715,99.5878,100.2047,100.8675,101.5907,102.3364,103.0615,103.7350,104.3869,105.0466,105.7363,106.4380,107.1407,107.8395,108.5300,109.2116,109.8939,110.5802,111.2690,111.9667,112.6593
Player6OnsetTimes,76.4845,77.5289,78.0561,79.3838,80.2770,80.7984,81.6094,82.5248,83.4531,84.2279,84.8351,85.6063,86.4684,87.2813,88.0087,88.8338,89.6648,90.4148,91.0753,91.8273,92.6262,93.3749,94.0528,94.7583,95.4772,96.1888,96.8618,97.5260,98.1971,98.8758,99.5721,100.2793,100.9771,101.6567,102.3364,103.0277,103.7189,104.4174,105.1088,105.7818,106.4694,107.1564,107.8395,108.5300,109.2269,109.9281,110.6353,111.3166,111.9814,112.6593
Player7OnsetTimes,75.0854,77.6906,78.7193,79.2748,79.7003,80.9218,81.7651,82.6025,83.4216,84.1459,84.7877,85.6367,86.5333,87.3305,88.0243,88.8189,89.6490,90.4308,91.1073,91.8618,92.6416,93.3749,94.0528,94.7740,95.5087,96.2053,96.8618,97.5087,98.1803,98.8758,99.5878,100.2961,100.9941,101.6719,102.3525,103.0277,103.7189,104.4174,105.1088,105.7985,106.4843,107.1710,107.8557,108.5460,109.2430,109.9281,110.6207,111.3166,112.0136,112.7063
