Key,Value
BPM,60.0000
StartTime,11.6850
scoreCounter,56.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,13.5404,15.5876,16.6839,17.8462,18.8620,20.4264,21.5759,22.6982,23.8040,24.9320,26.0009,27.2820,28.3356,29.4650,30.5867,31.7316,32.8015,34.1104,35.4247,37.0666,38.2693,39.4546,40.4937,42.1700,43.5148,44.6414,45.7432,46.7822,47.8084,48.8676,49.9074,50.9432,51.9737,53.0086,54.0474,55.0854,56.1287,57.1715,58.2101,59.2527,60.2933,61.3328,62.3659,63.3985,64.4277,65.4527,66.4780,67.5024,68.5297,69.5593,70.5834,71.6056,72.6257,73.6458,74.6682,75.6908
Mean Interval List,0.0000,1.0583,1.0033,0.9975,0.9893,1.0366,1.0112,1.0062,1.0024,0.9979,0.9985,1.0007,0.9903,0.9903,1.0337,1.0311,1.0256,1.0268,1.0153,1.0065,0.9751,1.0216,1.0146,1.0140,1.0334,1.0184,1.0122,1.0084,1.0071,1.0066,1.0051,1.0064,1.0099,1.0158,1.0165,1.0185,1.0184,1.0151,1.0149,1.0155,1.0169,1.0100,1.0083,1.0072,1.0034,1.0005,1.0000,1.0039,1.0045,1.0020,0.9993,0.9977,0.9956,0.9947,0.9980,1.0001
Timestamps,3.0906,3.7625,4.5957,5.5107,6.5709,7.6145,8.7152,9.6567,10.7283,11.6850,12.5977,13.7110,14.7050,15.6510,16.6318,17.6297,18.6092,19.5898,20.6458,21.6956,22.7427,23.7590,24.8974,26.0113,27.0840,28.1390,29.1290,30.1335,31.2030,32.2373,33.3297,34.4089,35.5451,36.5615,37.6656,38.6930,39.7366,40.7649,41.7700,42.8270,43.8718,44.8724,45.8985,46.9110,47.9283,48.9567,50.0222,51.1270,52.2748,53.3233,54.4023,55.4373,56.4132,57.4530,58.5027,59.5718,60.4746,61.4799,62.4895,63.4462,64.4189,65.4337,66.5365,67.5716,68.5498,69.5246,70.5186,71.4981,72.5014,73.5856,74.6507,75.5770
Player1OnsetTimes,14.1185,15.6631,16.3200,17.2794,18.5507,19.9736,21.2575,22.6212,23.8920,24.9790,25.9409,26.9391,28.0175,29.2883,30.5441,31.7406,32.8472,33.9112,35.9781,37.1727,37.8173,39.6882,41.0694,41.9490,43.2173,44.4367,45.7069,46.8986,47.9789,48.9390,49.8629,50.8587,51.9431,53.0605,54.1394,55.1554,56.1496,57.1499,58.1955,59.2778,60.3513,61.3875,62.3970,63.3980,64.4189,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player2OnsetTimes,13.7915,15.3425,16.2362,17.4319,18.7705,20.0795,21.2105,22.5052,23.8047,24.9790,26.0113,27.0089,28.0408,29.2765,30.5210,31.7286,32.8472,33.9231,35.9907,37.1848,37.8173,39.6633,41.0575,41.9607,43.2516,44.4720,45.7182,46.8986,47.9657,48.9390,49.8793,50.8770,51.9431,53.0450,54.1242,55.1554,56.1646,57.1803,58.2105,59.2778,60.3357,61.3720,62.3970,63.4139,64.4340,65.4643,66.5035,67.5404,68.5648,69.5863,70.6092,71.6223,72.6482,73.6677,74.6840,75.7032
Player3OnsetTimes,14.2508,15.7911,16.3433,17.2094,18.4589,19.9279,21.2812,22.6802,23.9270,24.9790,25.9179,27.9050,28.9958,29.5565,30.6192,31.6011,32.6278,33.7692,36.1103,37.3943,37.9183,39.4186,40.7050,41.7565,43.5092,44.8598,45.8985,46.7709,47.6842,48.7156,49.8314,50.9680,52.0513,53.0605,54.0472,55.0466,56.0866,57.1499,58.2105,59.2778,60.3205,61.3420,62.3514,63.3680,64.4022,65.4487,66.4878,67.5089,68.5330,69.5552,70.5793,71.6065,72.6320,73.6516,74.6676,75.6880
Player4OnsetTimes,14.1427,15.6866,16.3200,17.2677,18.5393,19.9622,21.2575,22.6332,23.9036,24.9790,25.9294,27.9232,29.0076,29.5565,30.6015,31.5894,32.6278,33.7807,36.1336,37.4057,37.9183,39.4074,40.6936,41.7565,43.5210,44.8724,45.9102,46.7709,47.6731,48.7156,49.8471,50.9829,52.0513,53.0605,54.0472,55.0466,56.0866,57.1499,58.2105,59.2778,60.3205,61.3420,62.3514,63.3680,64.4022,65.4487,66.4878,67.5089,68.5330,69.5552,70.5793,71.6065,72.6320,73.6516,74.6676,75.6880
Player5OnsetTimes,13.7223,15.7911,16.7382,17.6050,18.5739,20.9230,22.1841,22.8511,23.9972,24.8974,25.7649,27.8256,29.0076,29.6036,30.6192,31.5418,32.5457,34.8646,36.0743,36.5374,37.5819,38.9288,40.4454,41.8435,43.9512,45.2198,45.9214,46.5157,47.3835,48.5876,49.9107,51.1270,52.1481,53.0290,53.9223,54.9219,56.0401,57.1803,58.2737,59.2942,60.2722,61.2660,62.2902,63.3532,64.4189,65.4643,66.4724,67.4788,68.5025,69.5392,70.5643,71.5911,72.6156,73.6349,74.6507,75.6727
Player6OnsetTimes,13.5233,15.5806,16.6663,17.6930,18.7240,20.9571,22.1140,22.7548,24.0084,24.9790,25.8369,27.7807,28.9042,29.5440,30.7006,31.6708,32.6164,34.7499,35.9078,36.4561,37.7477,39.1580,40.5518,41.7825,43.7333,45.0570,45.9214,46.6300,47.5013,48.6178,49.8471,51.0485,52.1151,53.0605,53.9837,54.9672,56.0401,57.1499,58.2423,59.2942,60.3047,61.2961,62.3050,63.3532,64.4189,65.4643,66.4878,67.4942,68.5025,69.5246,70.5643,71.6065,72.6320,73.6349,74.6331,75.6573
Player7OnsetTimes,13.0368,15.6152,17.0572,18.0653,18.8173,20.5170,21.6014,22.5636,23.5723,24.6957,25.8831,27.0712,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4514,44.4830,45.5823,46.7353,47.8903,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player8OnsetTimes,12.8859,15.4745,17.0329,18.1458,18.9111,20.4938,21.5187,22.4939,23.5610,24.7303,25.9294,27.0963,28.1742,29.3229,30.4638,31.6240,32.7769,33.9112,34.9932,37.3824,38.7389,39.5245,40.2332,42.2296,43.4630,44.4830,45.5708,46.7353,47.9022,48.9883,49.9738,50.9378,51.9431,52.9959,54.0785,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player9OnsetTimes,14.3430,15.3776,15.8657,18.2043,19.8189,20.5632,21.2690,23.1058,24.3471,25.0600,26.2707,27.1802,27.9826,30.0981,31.3429,31.9161,32.8588,34.6090,35.5807,36.2184,37.9645,39.5356,40.7649,41.7096,43.3096,44.6677,45.8232,46.8057,47.7515,48.7303,49.7679,50.8770,51.9906,53.0450,54.0472,55.0320,56.0549,57.1045,58.1803,59.2491,60.2880,61.3119,62.3204,63.3383,64.3867,65.4337,66.4724,67.4942,68.5025,69.5246,70.5479,71.5755,72.5997,73.6183,74.6331,75.6573
Player10OnsetTimes,13.1184,15.6984,17.0797,18.0182,18.7471,20.5058,21.6368,22.6098,23.5848,25.7512,26.9262,27.3418,28.0059,29.8983,31.1314,31.8564,32.4871,34.3494,35.6038,36.4443,38.1785,39.6047,40.6936,42.5112,43.3823,44.9411,46.0505,46.8412,47.6156,48.5730,49.7215,50.9378,52.0827,53.0913,54.0309,54.9840,56.0099,57.1045,58.2105,59.2942,60.3047,61.2961,62.2902,63.3232,64.3867,65.4487,66.4878,67.4942,68.4875,69.5059,70.5337,71.5755,72.6156,73.6349,74.6507,75.6573
Player11OnsetTimes,13.6760,15.7446,16.7254,17.6297,18.6092,20.9344,22.1729,22.8278,23.9855,24.8974,25.7767,27.8369,29.0076,29.6036,30.6192,31.5418,32.5457,34.8646,36.0743,36.5374,37.5819,38.9288,40.4454,41.8435,43.9512,45.2316,45.9331,46.5157,47.3835,48.5876,49.9107,51.1270,52.1481,53.0290,53.9223,54.9219,56.0401,57.1803,58.2737,59.2942,60.2722,61.2660,62.2902,63.3532,64.4189,65.4643,66.4878,67.4942,68.5025,69.5246,70.5479,71.5755,72.6156,73.6516,74.6676,75.6727
Player12OnsetTimes,14.0847,15.6267,16.3074,17.2909,18.5739,19.9846,21.2575,22.6098,23.8807,24.9790,25.9523,26.9503,28.0175,29.2883,30.5441,31.7406,32.8472,33.9112,35.9781,37.1727,37.8173,39.6882,41.0812,41.9607,43.2059,44.4260,45.7069,46.9110,47.9918,48.9567,49.8793,50.8587,51.9274,53.0450,54.1394,55.1710,56.1646,57.1653,58.1955,59.2491,60.3205,61.3720,62.3970,63.4139,64.4340,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player13OnsetTimes,14.8570,15.3776,15.9016,18.2341,19.8065,20.5285,21.2451,23.1174,24.3702,25.0717,26.2463,27.1315,27.9481,30.1335,31.4015,31.9459,32.7884,34.4903,35.5099,36.2316,38.0724,39.6286,40.7766,42.5238,43.3096,44.8248,45.9687,46.8293,47.6497,48.6032,49.7052,50.8921,52.0364,53.0764,54.0309,54.9840,55.9935,57.0743,58.1803,59.2491,60.2722,61.2808,62.2902,63.3232,64.3867,65.4337,66.4575,67.4634,68.4726,69.5059,70.5479,71.5755,72.5997,73.6183,74.6331,75.6427
Player14OnsetTimes,12.7915,15.3776,16.9981,18.1798,18.9696,20.5058,21.4831,22.4595,23.5492,24.7424,25.9523,27.1192,28.1872,29.3229,30.4509,31.6128,32.7769,33.9231,35.0045,37.3824,38.7275,39.5125,40.2332,42.2408,43.4745,44.4941,45.5708,46.7237,47.8903,48.9883,49.9738,50.9378,51.9431,52.9959,54.0785,55.1398,56.1799,57.2029,58.2270,59.2778,60.3205,61.3569,62.3817,63.4139,64.4485,65.4797,66.5035,67.5247,68.5498,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player15OnsetTimes,12.9442,15.5217,17.0329,18.1110,18.8763,20.5058,21.5545,22.5282,23.5723,24.7189,25.9066,27.0840,28.1742,29.3346,30.4753,31.6359,32.7769,33.8986,36.0382,37.2441,37.8470,39.5930,40.9524,41.8911,43.2981,44.5647,45.7649,46.8642,47.8903,48.8653,49.8471,50.8921,51.9738,53.0605,54.1085,55.1247,56.1342,57.1499,58.1955,59.2778,60.3357,61.3720,62.3817,63.3980,64.4340,65.4643,66.4878,67.5089,68.5330,69.5715,70.6092,71.6380,72.6482,73.6516,74.6676,75.6880
Player16OnsetTimes,13.1298,15.7100,17.0915,18.0305,18.7471,20.4813,21.6133,22.5986,23.5963,24.6837,25.8485,27.0470,28.1742,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4398,44.4720,45.5708,46.7353,47.9022,48.9883,49.9583,50.9074,51.9120,52.9798,54.0785,55.1554,56.1952,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player17OnsetTimes,13.2697,15.3425,16.6191,17.8192,18.8878,19.9164,21.9977,23.4051,24.1256,25.1406,25.9179,27.6419,28.7194,29.4620,30.1816,32.2719,33.6106,34.2507,35.1335,36.9521,38.1669,39.2282,40.3280,42.6869,43.8242,44.4830,46.0733,47.1960,47.9657,48.6646,49.5576,50.7016,51.9587,53.1379,54.1712,55.0947,56.0247,57.0288,58.1193,59.2329,60.3205,61.3569,62.3514,63.3383,64.3712,65.4168,66.4575,67.4942,68.5181,69.5392,70.5479,71.5602,72.5821,73.6183,74.6507,75.6727
Player18OnsetTimes,13.0595,15.6387,17.0686,18.0534,18.7934,20.5058,21.6133,22.5868,23.5848,24.6837,25.8603,27.0591,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4398,44.4720,45.5708,46.7353,47.9022,48.9883,49.9738,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
Player19OnsetTimes,14.1303,15.6747,16.3200,17.2677,18.5393,19.9622,21.2575,22.6332,23.9036,24.9790,25.9409,26.9391,28.0175,29.2883,30.5441,31.7406,32.8472,33.9112,35.9781,37.1727,37.8173,39.6882,41.0694,41.9490,43.2059,44.4367,45.7182,46.9110,47.9789,48.9390,49.8629,50.8587,51.9431,53.0605,54.1394,55.1554,56.1496,57.1499,58.1955,59.2778,60.3357,61.3720,62.3970,63.4139,64.4340,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player20OnsetTimes,13.6990,15.7561,16.7131,17.6050,18.5975,20.9686,22.2190,22.8511,23.9505,24.8502,26.6523,27.7109,28.2393,29.5909,30.6422,31.5783,32.5690,34.8306,36.0272,36.5150,37.6303,39.0007,40.4803,41.8193,43.8596,45.1492,45.9214,46.5615,47.4417,48.6032,49.8793,51.0794,52.1151,53.0290,53.9536,54.9672,56.0549,57.1653,58.2423,59.2778,60.2722,61.2808,62.3204,63.3680,64.4189,65.4487,66.4724,67.4788,68.5025,69.5392,70.5643,71.5911,72.6156,73.6349,74.6507,75.6727
Player21OnsetTimes,14.7050,15.7333,15.9584,17.7687,19.3019,20.3546,21.0818,23.2210,24.6000,25.2281,26.0687,27.6419,28.5923,29.3114,30.9108,32.0486,32.8350,34.4089,35.4005,36.9631,37.9772,39.0159,40.2332,42.8755,44.0665,44.5761,45.7772,46.8176,47.7856,48.7596,49.7679,50.8442,51.9431,53.0125,54.0472,55.0466,56.0549,57.0894,58.1501,59.2173,60.2722,61.3119,62.3360,63.3532,64.3867,65.4168,66.4417,67.4634,68.4875,69.5246,70.5479,71.5755,72.5997,73.6183,74.6331,75.6573
Player22OnsetTimes,14.4355,15.4745,15.9016,18.0876,19.6648,20.4938,21.4258,22.3945,23.5246,24.7541,25.9637,27.1075,28.1508,29.2883,30.4286,31.6128,32.7769,33.9112,34.9824,37.3592,38.7163,39.5125,40.2332,42.2296,43.4514,44.4606,45.5483,46.7237,47.9022,48.9883,49.9583,50.9074,51.9120,52.9798,54.0785,55.1554,56.1799,57.1803,58.1955,59.2329,60.2880,61.3569,62.3970,63.4139,64.4340,65.4643,66.4878,67.5089,68.5330,69.5715,70.5941,71.6223,72.6482,73.6677,74.6840,75.7032
Player23OnsetTimes,13.9797,15.5217,16.2725,17.3403,18.6544,20.0326,21.2451,22.5636,23.8465,24.9790,25.9755,26.9736,28.0287,29.2883,30.5441,31.7406,32.8472,33.9112,35.9781,37.1848,37.8291,39.6764,41.0575,41.9490,43.2173,44.4493,45.7182,46.9110,47.9789,48.9390,49.8629,50.8587,51.9431,53.0605,54.1394,55.1554,56.1496,57.1653,58.2105,59.2778,60.3357,61.3720,62.3970,63.4139,64.4340,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player24OnsetTimes,13.6407,15.6984,16.7011,17.6415,18.6432,20.9452,22.1612,22.8165,23.9972,24.9199,25.7881,27.8036,28.9613,29.5787,30.6422,31.5894,32.5801,34.8306,36.0147,36.5032,37.6303,39.0007,40.4803,41.8312,43.8828,45.1613,45.9102,46.5380,47.4181,48.6032,49.8951,51.0943,52.1151,53.0290,53.9536,54.9672,56.0549,57.1653,58.2423,59.2778,60.2722,61.2808,62.3204,63.3680,64.4189,65.4487,66.4724,67.4788,68.5025,69.5392,70.5793,71.6065,72.6156,73.6183,74.6331,75.6573
Player25OnsetTimes,13.5466,15.6034,16.6782,17.6930,18.7121,20.9452,22.1140,22.7668,24.0203,24.9790,25.8252,27.7691,28.9042,29.5440,30.7006,31.6708,32.6164,34.7499,35.9078,36.4561,37.7477,39.1580,40.5518,41.7825,43.7333,45.0458,45.9102,46.6300,47.5129,48.6327,49.8629,51.0485,52.0980,53.0450,53.9837,54.9840,56.0549,57.1499,58.2270,59.2778,60.2880,61.2961,62.3204,63.3680,64.4189,65.4487,66.4724,67.4788,68.5025,69.5392,70.5793,71.6065,72.6156,73.6183,74.6331,75.6573
Player26OnsetTimes,12.8387,15.4255,17.0099,18.1571,18.9457,20.5170,21.5071,22.4712,23.5492,24.7303,25.9409,27.1075,28.1742,29.3229,30.4638,31.6359,32.7884,33.9112,34.9824,37.3704,38.7389,39.5356,40.2469,42.2170,43.4398,44.4720,45.5823,46.7474,47.9149,48.9883,49.9583,50.9229,51.9274,52.9959,54.0931,55.1554,56.1799,57.1803,58.1955,59.2491,60.3205,61.3720,62.3970,63.4139,64.4340,65.4643,66.5035,67.5404,68.5648,69.5863,70.5941,71.6065,72.6320,73.6677,74.7011,75.7180
Player27OnsetTimes,13.0368,15.6152,17.0572,18.0653,18.8173,20.5170,21.6014,22.5636,23.5723,24.6957,25.8831,27.0712,28.1872,29.3583,30.4868,31.6240,32.7538,33.8871,34.9824,37.4057,38.7623,39.5245,40.2215,42.2053,43.4514,44.4830,45.5823,46.7353,47.8903,48.9717,49.9583,50.9229,51.9274,52.9959,54.0785,55.1398,56.1799,57.2029,58.2105,59.2329,60.2880,61.3569,62.4119,63.4462,64.4485,65.4487,66.4724,67.5089,68.5498,69.5863,70.6092,71.6223,72.6320,73.6516,74.6840,75.7180
