Key,Value
BPM,90.0000
StartTime,130.9850
scoreCounter,45.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,132.5540,134.4090,135.2206,136.1066,136.9386,138.0441,138.7718,139.5402,140.2256,141.4644,142.3091,143.0199,143.8301,144.5722,145.2758,146.1812,146.8820,147.5944,148.2821,149.1800,149.8880,150.5789,151.2702,151.9661,152.6645,153.3629,154.0641,154.7640,155.4698,156.1713,156.8768,157.5817,158.2994,159.7137,160.4736,161.1675,161.8667,162.5627,163.2630,163.9625,164.6559,165.3474,166.0442,166.7377,167.4297
Mean Interval List,0.0000,0.7237,0.6657,0.6931,0.6826,0.6793,0.6601,0.6606,0.6591,0.6988,0.6729,0.6710,0.6699,0.6643,0.6641,0.6695,0.6609,0.6639,0.6661,0.6685,0.6646,0.6678,0.6704,0.6733,0.6753,0.6782,0.6793,0.6829,0.6800,0.6807,0.6789,0.6952,0.7005,0.7058,0.6723,0.6730,0.6711,0.6719,0.6694,0.6689,0.6688,0.6714,0.6707,0.6710,0.6702
Timestamps,122.7091,123.6256,124.3659,124.9940,125.7567,126.6023,127.4910,129.6995,130.2850,130.9850,131.6383,132.3296,133.0009,133.6923,134.3870,135.0616,135.7469,136.4214,137.1878,137.9085,138.6469,139.3849,140.0999,140.8627,141.5851,142.3906,143.0789,143.7767,144.5166,145.3266,146.0610,146.8215,147.5777,148.3133,149.1343,149.9054,150.6488,151.3987,152.1336,152.8897,153.6092,154.3819,155.0228,155.7420,156.4081,157.4370,158.2466,159.0694,159.8132,160.5867,161.2431,161.9576,162.6040,163.2948,163.9910,164.7367,165.4136,166.1178,166.7943,167.5036
Player1OnsetTimes,132.3608,134.4657,135.3585,136.0120,136.6256,138.1705,139.1096,139.7001,140.1457,141.2775,142.0583,142.8955,143.7767,144.5627,145.2944,145.9963,146.6749,147.4988,148.3454,149.1182,149.7797,150.5208,151.3049,152.0538,152.7490,153.4018,154.0478,154.7266,155.4500,156.1892,156.9141,157.6099,158.3114,159.7269,160.4555,161.1454,161.8771,162.6040,163.2948,163.9738,164.6506,165.3486,166.0607,166.7594,167.4573
Player2OnsetTimes,132.5294,134.6197,135.3905,135.9339,137.1254,137.9559,138.5204,139.2713,140.1302,141.8817,142.6694,143.0628,143.9185,144.5793,145.2011,146.5441,147.2824,147.6977,148.0817,149.2879,150.1091,150.7104,151.2270,151.8171,152.5369,153.3241,154.1088,154.8193,155.4808,156.1280,156.8038,157.5329,158.2964,159.7901,160.5086,161.1301,161.7928,162.4981,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player3OnsetTimes,132.2380,134.3227,135.2956,136.0432,136.7036,138.2163,139.0946,139.6523,140.1148,141.3225,142.1212,142.9256,143.7591,144.5323,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6506,165.3331,166.0456,166.7594,167.4573
Player4OnsetTimes,132.3608,134.4657,135.3585,136.0120,136.6256,138.1705,139.1096,139.7001,140.1457,141.2775,142.0583,142.8955,143.7767,144.5627,145.2944,145.9963,146.6749,147.4988,148.3454,149.1182,149.7797,150.5208,151.3049,152.0538,152.7490,153.4018,154.0478,154.7266,155.4500,156.1892,156.9141,157.6099,158.3114,159.7269,160.4555,161.1454,161.8771,162.6040,163.2948,163.9738,164.6506,165.3486,166.0607,166.7594,167.4573
Player5OnsetTimes,132.1281,134.2134,135.2637,136.1064,136.7995,138.2163,139.0330,139.6070,140.1148,141.3832,142.1827,142.9407,143.7273,144.4827,145.2484,146.0125,146.7421,147.5607,148.3615,149.0853,149.7261,150.5061,151.3206,152.0855,152.7641,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player6OnsetTimes,132.5904,134.6790,135.4053,135.9020,137.0620,137.9085,138.5204,139.3030,140.1629,141.8817,142.6527,143.0471,143.9351,144.6106,145.2173,146.5290,147.2498,147.6666,148.0817,149.3342,150.1574,150.7264,151.2047,151.7702,152.4904,153.3087,154.1275,154.8499,155.4961,156.1280,156.8038,157.5329,158.2964,159.7901,160.5086,161.1301,161.7928,162.4981,163.2411,163.9738,164.6660,165.3331,166.0150,166.7121,167.4105,168.1019
Player7OnsetTimes,132.2380,134.3227,135.2956,136.0432,136.7036,138.2163,139.0946,139.6523,140.1148,141.3225,142.1212,142.9256,143.7591,144.5323,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6506,165.3331,166.0456,166.7594,167.4573
Player8OnsetTimes,132.4070,134.5120,135.3742,135.9812,136.5935,138.1865,139.1411,139.7312,140.1457,141.2300,142.0108,142.8792,143.7925,144.5959,145.3099,145.9810,146.6585,147.4988,148.3615,149.1343,149.7797,150.5061,151.2894,152.0538,152.7490,153.4018,154.0478,154.7266,155.4500,156.1892,156.9141,157.6099,158.3114,159.7269,160.4555,161.1454,161.8624,162.5864,163.2948,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
