Key,Value
BPM,60.0000
StartTime,11.3684
scoreCounter,78.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,13.0330,15.0145,16.1111,17.2383,18.2594,20.0974,21.3180,22.5178,24.1318,25.3084,26.4212,27.8719,29.1135,30.2834,31.7158,33.0828,34.2732,35.8615,37.0377,38.3991,39.9164,41.1528,42.3598,43.9356,45.3075,46.5824,47.9803,49.3143,50.6397,52.2000,53.6018,54.9348,56.3366,57.7366,59.1161,60.4426,61.9470,63.1997,64.6616,65.9624,67.3415,68.7287,70.0906,71.3102,72.5528,73.6308,74.8192,75.9212,77.1259,78.2413,79.4677,80.7151,81.9752,83.1666,84.4451,85.7195,87.0273,88.1661,89.2281,90.2800,91.2922,92.3049,93.3210,94.3355,95.3537,96.3715,97.3884,98.4070,99.4323,100.4601,101.4859,102.5083,103.5278,104.5474,105.5641,106.5853,107.6097,108.6327
Mean Interval List,0.0000,1.0596,1.0080,1.0033,0.9929,1.0408,0.9955,1.0320,1.0226,0.9948,0.9874,1.0307,1.0077,1.0011,0.9944,1.0260,1.0106,1.0036,1.0238,1.0130,1.0393,1.0117,0.9997,1.0363,1.0066,1.0371,1.0236,1.0061,0.9931,1.0319,0.9998,0.9849,1.0257,1.0097,0.9918,1.0321,1.0268,1.0128,1.0030,1.0339,1.0246,1.0076,0.9926,1.0306,1.0223,1.0161,1.0167,1.0083,1.0068,1.0014,1.0004,0.9910,1.0333,1.0247,1.0192,1.0105,1.0006,0.9916,0.9847,0.9884,0.9898,0.9925,0.9917,0.9939,0.9944,0.9955,0.9965,1.0024,1.0031,1.0006,0.9987,0.9969,0.9963,0.9916,0.9962,0.9999,0.9974,1.0004
Timestamps,2.8274,3.5526,4.4076,5.3007,6.2085,7.1622,8.1672,9.3092,10.3284,11.3684,12.2852,13.2472,14.2232,15.1719,16.1750,17.0944,18.1267,19.0709,20.0039,20.9493,21.9530,22.9636,24.0218,25.0511,26.0154,27.0293,28.0180,29.1285,30.1649,31.1972,32.2281,33.2863,34.3360,35.3648,36.3289,37.2883,38.2203,39.1739,40.1391,41.1358,42.1324,43.0730,44.0551,45.0430,46.0353,47.0390,48.0874,49.1615,50.2071,51.2617,52.1790,53.2834,54.4169,55.4317,56.5123,57.5564,58.6374,59.7391,60.9583,62.1838,63.2400,64.2893,65.3182,66.4320,67.4701,68.5587,69.5873,70.6786,71.7319,72.8500,73.9396,74.9589,76.0322,77.1278,78.2241,79.2617,80.3340,81.3540,82.4414,83.5222,84.6262,85.7038,86.8316,87.8319,88.9693,90.0490,91.1155,92.1133,93.1737,94.1981,95.2394,96.2763,97.4116,98.4447,99.4193,100.4087,101.3993,102.4088,103.3355,104.4474,105.5385,106.5090,107.5931,108.5327
Player1OnsetTimes,14.1404,15.1719,15.4435,17.2475,18.7442,19.7420,21.1401,22.4024,23.5705,25.8123,27.2372,27.8765,28.7723,30.7949,32.0560,32.6816,34.2528,35.5536,36.5796,39.0898,40.4521,40.9973,42.2464,43.3599,45.6130,47.0541,47.8803,49.2566,50.3355,52.4159,53.6810,54.5302,56.4008,57.7318,58.6998,60.7114,62.0557,62.9019,64.7850,66.0149,66.9754,68.9661,70.2586,71.1005,72.9466,74.1433,74.8882,76.1891,77.1585,77.9745,79.9360,81.1307,81.7821,83.2502,84.4092,85.3730,87.4556,88.7048,89.3922,89.9863,90.8435,92.0347,93.3457,94.5365,95.5073,96.3522,97.2398,98.2478,99.3554,100.4716,101.5245,102.5273,103.5027,104.4802,105.4902,106.5401,107.5931,108.6341
Player2OnsetTimes,12.8911,14.9672,16.1480,17.2121,18.2118,20.2738,21.3677,22.2559,24.2828,25.5172,26.4160,28.1250,29.1745,30.0161,31.9499,33.1569,34.0275,35.9734,37.1695,38.1266,39.9860,41.2412,42.2303,44.1346,45.2821,46.1613,48.3011,49.6565,50.4446,51.9697,53.1581,55.5435,56.8689,57.4757,58.7619,59.9586,62.5758,63.9850,64.5701,65.4674,67.6947,69.0880,69.8484,71.3296,72.5529,73.5784,74.6108,75.6782,76.8482,78.0526,79.2764,80.4414,81.5927,82.8538,84.1795,85.4518,86.6862,87.9241,89.2054,90.4144,91.4760,92.4045,93.2989,94.2595,95.3234,96.4127,97.4713,98.4761,99.4665,100.4551,101.4631,102.5033,103.5486,104.5906,105.6143,106.6210,107.6243,108.6341
Player3OnsetTimes,13.0230,15.0884,16.1750,17.1413,18.1141,20.2738,21.4418,22.3315,24.2469,25.4239,26.3568,28.1965,29.2927,30.0738,31.8423,33.0050,33.9559,36.1168,37.3711,38.2203,39.7870,40.9622,42.0838,44.4008,45.6584,46.3493,47.9430,49.1440,50.1891,52.4620,53.8386,54.6693,56.3401,57.5713,59.6280,60.7583,61.4467,63.0736,64.4613,65.5823,67.9849,69.3165,69.8802,71.0386,72.2359,73.4675,74.7328,75.8931,76.9874,78.0367,79.1673,80.3486,81.5927,82.9292,84.2708,85.5000,86.6862,87.8915,89.1747,90.4144,91.4917,92.4353,93.3305,94.2740,95.3234,96.4127,97.4713,98.4914,99.4851,100.4716,101.4784,102.5273,103.5791,104.6056,105.5990,106.6052,107.6243,108.6489
Player4OnsetTimes,13.9982,15.0292,15.3971,17.4105,18.9412,19.8268,20.9308,23.3289,24.6582,25.0982,26.3333,27.4759,29.6693,30.9712,31.5666,32.5481,34.8071,36.2101,36.8287,38.3634,39.5174,41.6362,42.9435,43.5932,44.8132,47.3112,48.7152,49.2090,50.6043,52.7130,53.7603,54.3829,56.0862,57.4915,58.6690,60.9896,62.3412,62.9639,64.3982,65.5657,68.0007,69.3165,69.8330,70.9320,72.1434,73.4356,74.7481,75.9086,76.9714,77.9903,80.2093,81.4012,81.8593,82.8994,85.0822,86.2805,86.8148,87.9711,89.0975,90.2106,91.2821,92.3141,93.2989,94.2740,95.2693,96.2910,97.3315,98.3688,99.4023,100.4236,101.4311,102.4409,103.4710,104.5119,105.5385,106.5556,107.5749,108.5790
Player5OnsetTimes,13.0006,15.0653,16.1750,17.1649,18.1386,20.2622,21.4043,22.2967,24.2706,25.4704,26.3800,28.1494,29.2214,30.0388,31.9024,33.0970,34.0026,36.0193,37.2278,38.1496,39.9274,41.1586,42.1809,44.2142,45.4075,46.2393,48.2060,49.4971,50.3665,52.1461,53.3985,54.4666,56.7775,58.1646,58.8796,60.2810,61.5110,62.6701,65.3817,66.8052,67.3455,68.2047,70.2430,71.6410,72.5842,73.3881,75.4138,76.6320,77.2219,78.2241,79.1673,81.2048,82.4251,83.1141,84.5163,85.5781,87.5005,88.5963,89.2370,90.5692,91.5391,92.3141,93.1089,94.0869,95.2233,96.3824,97.4565,98.4447,99.3860,100.3595,101.3993,102.4573,103.5027,104.5284,105.5385,106.5401,107.5586,108.5790
Player6OnsetTimes,12.5099,15.0884,16.5471,17.5291,18.2360,19.8268,20.8968,23.3171,24.6717,25.1322,26.3684,27.4990,29.6565,30.9473,31.5666,32.5963,33.7299,36.4729,37.8783,38.4695,39.2813,41.2648,42.7501,43.6746,45.2013,46.4120,47.5372,49.8578,51.2047,51.8227,53.0783,55.6520,57.0270,57.5375,59.0699,60.2021,62.3412,63.5520,64.2893,65.7765,67.0851,68.2513,70.6446,71.9947,72.6305,73.6903,74.6421,75.6161,77.8952,79.1205,79.5679,80.6140,82.4251,83.5222,84.2098,85.6863,86.8468,87.8467,88.9494,90.1569,91.3269,92.3896,93.3457,94.2595,95.2233,96.2594,97.3315,98.3992,99.4344,100.4397,101.4311,102.4409,103.4710,104.5119,105.5385,106.5556,107.5749,108.5957
Player7OnsetTimes,12.5454,15.1236,16.5592,17.5169,18.2118,19.8268,20.9196,23.3406,24.6834,25.1209,26.3333,27.4643,29.6810,30.9944,31.5912,32.5609,34.7951,36.1862,36.8163,38.3988,39.5766,41.6662,42.9277,43.5576,44.8132,46.0995,47.5042,48.8945,50.2723,52.9134,54.2306,54.7310,55.8336,58.2113,59.5983,60.2641,61.6593,62.8253,64.0626,66.6485,68.1422,68.6863,69.5551,71.6248,73.0573,73.8623,74.5153,76.2282,77.4781,78.2709,79.7651,80.7509,82.3043,83.3100,84.0878,85.8947,87.1553,88.0306,88.9326,90.0160,91.2220,92.4045,93.4529,94.3668,95.2693,96.2439,97.3005,98.3844,99.4507,100.4716,101.4631,102.4573,103.4710,104.5119,105.5533,106.5887,107.6086,108.6139
