Key,Value
BPM,120.0000
StartTime,198.9727
scoreCounter,81.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Mean Onset List,200.5958,202.7180,203.4244,204.0281,204.5818,205.3021,206.1290,206.9045,207.4589,207.9801,208.9218,209.5408,210.0726,211.0352,211.6383,212.1907,212.7755,213.5598,214.2848,214.8759,215.4909,216.1571,216.8658,217.6125,218.2115,218.8858,219.5621,220.2934,221.0133,221.6134,222.2283,222.9101,223.4780,224.1418,224.7569,225.4241,226.0569,226.6982,227.3010,228.0155,228.6104,229.2167,229.8239,230.4594,231.0062,231.6499,232.2087,232.7486,233.2864,233.8232,234.3588,234.8945,235.4294,235.9645,236.4989,237.0344,237.5694,238.1028,238.6363,239.1672,239.6936,240.2240,240.7510,241.2764,241.8053,242.3323,242.8558,243.3819,243.9091,244.4352,244.9625,245.4887,246.0174,246.5450,247.0711,247.5988,248.1251,248.6510,249.1757,249.7018,250.2301
Mean Interval List,0.0000,0.5766,0.4957,0.5130,0.5095,0.5078,0.5247,0.5114,0.4988,0.4986,0.5238,0.5030,0.4985,0.5259,0.5040,0.5007,0.5003,0.5231,0.5101,0.4992,0.5205,0.5171,0.5122,0.5037,0.4965,0.5153,0.5057,0.5211,0.5094,0.4993,0.4950,0.5171,0.5099,0.5081,0.5008,0.5217,0.5146,0.5095,0.5034,0.4982,0.5154,0.5135,0.5109,0.5072,0.4992,0.4975,0.5160,0.5145,0.5125,0.5118,0.5123,0.5117,0.5127,0.5121,0.5120,0.5117,0.5100,0.5091,0.5077,0.5044,0.5072,0.5032,0.5022,0.5044,0.5029,0.5005,0.5024,0.5036,0.5039,0.5038,0.5034,0.5038,0.5037,0.5028,0.5030,0.5019,0.5013,0.5020,0.5032,0.5034,0.5038
Timestamps,193.9106,194.9723,195.4885,195.9646,196.4748,196.9726,197.4844,198.0019,198.4692,198.9727,199.3918,200.0216,200.5786,201.1092,201.6203,202.1246,202.6299,203.1573,203.6820,204.2151,204.7335,205.2761,205.7911,206.3520,206.8751,207.4263,207.9641,208.4498,208.9748,209.5051,210.0462,210.5822,211.1083,211.6447,212.1888,212.6903,213.2297,213.7536,214.2592,214.7637,215.2755,215.8227,216.3898,216.9293,217.5310,218.0052,218.5055,218.9878,219.4758,219.9727,220.4683,220.9869,221.5010,222.0280,222.5564,223.0944,223.6259,224.1442,224.6877,225.1763,225.7004,226.2314,226.7507,227.2505,227.7925,228.3074,228.8648,229.4173,229.9499,230.4269,230.9391,231.4671,231.9521,232.4807,232.9803,233.5033,234.0505,234.5722,235.1289,235.6498,236.1828,236.7113,237.2117,237.7298,238.2334,238.7010,239.2873,239.7337,240.2447,240.8165,241.3111,241.7918,242.3578,242.9040,243.4355,243.9622,244.4792,245.0149,245.5390,246.0490,246.5816,247.0857,247.6013,248.1406,248.6907,249.2200,249.7538,250.2072
Player1OnsetTimes,201.1243,202.6914,203.1262,204.1980,204.9499,205.3532,205.8727,206.8900,207.5982,208.1202,208.9586,209.3924,209.8912,211.1393,211.8109,212.2536,212.6416,213.5841,214.2260,214.7455,215.3081,216.5754,217.2450,217.4656,217.9570,219.1879,219.8950,220.1946,220.7667,221.9461,222.6337,222.8941,223.3602,224.4208,225.0175,225.3169,225.9810,226.5778,227.1383,228.3225,228.9469,229.2441,229.7771,230.2664,230.8114,231.4509,232.0914,232.7577,233.3623,233.8801,234.3409,234.8122,235.3356,235.9184,236.5086,237.0542,237.5725,238.0717,238.5922,239.1300,239.6721,240.2101,240.7370,241.2637,241.7918,242.3096,242.8220,243.3560,243.8964,244.4286,244.9497,245.4615,245.9865,246.5192,247.0516,247.5834,248.1074,248.6261,249.1575,249.6899,250.2234
Player2OnsetTimes,201.5443,202.5968,203.1262,204.3232,205.0712,205.3846,205.8876,206.8433,207.5358,208.0902,208.9906,209.4402,209.9068,211.0758,211.7363,212.2215,212.6585,213.6452,214.2592,214.7297,215.7909,216.4380,216.7545,217.3863,217.9721,219.3147,220.0181,220.2267,220.8138,221.9312,222.5865,222.8620,223.3913,223.9369,224.5154,225.8239,226.5260,226.7507,227.2657,228.1890,228.7084,229.0898,229.9650,230.5587,230.9546,231.7990,232.3212,232.7273,233.1533,233.6763,234.2762,234.8924,235.4594,235.9641,236.4461,236.9460,237.4924,238.0566,238.6225,239.1620,239.6721,240.1784,240.6898,241.2179,241.7586,242.3096,242.8387,243.3560,243.8814,244.3971,244.9184,245.4468,245.9865,246.5192,247.0516,247.5834,248.1074,248.6261,249.1409,249.6590,250.1914
Player3OnsetTimes,200.2701,202.8925,203.7290,204.1190,204.4365,205.3688,206.0101,207.0150,207.6295,208.0747,208.8673,209.3448,209.9068,211.2328,211.9032,212.2858,212.9306,213.3783,214.2260,214.8892,215.4478,215.9883,217.1341,217.7831,218.1137,218.8962,219.5060,220.5319,221.1128,221.4696,222.3518,222.9692,223.4067,224.3758,224.9554,225.3014,226.0751,226.6864,227.1871,228.2411,228.8328,229.1975,229.9174,230.4582,230.9065,231.9207,232.4953,232.8223,233.1380,233.5981,234.2292,234.9079,235.5241,236.0276,236.4786,236.9460,237.4773,238.0566,238.6380,239.1935,239.7025,240.1935,240.7055,241.2328,241.7741,242.3096,242.8387,243.3716,243.8964,244.4125,244.9341,245.4615,246.0023,246.5345,247.0516,247.5679,248.0910,248.6261,249.1732,249.7055,250.2234
Player4OnsetTimes,200.1157,202.7383,203.6972,204.2151,204.5594,205.3532,205.9029,206.9203,207.6140,208.1202,208.9291,209.3772,209.8912,211.1698,211.8560,212.2858,212.6585,213.5685,214.1958,214.7297,215.3232,216.6261,217.2904,217.4825,218.1297,218.7406,219.9249,220.5633,220.8455,221.5010,222.1354,222.7276,223.3292,223.9862,224.6237,225.2570,225.9039,226.5621,227.2019,227.8391,228.4333,229.1059,229.7771,230.4093,230.9864,231.5596,232.1072,232.7273,233.3451,233.9109,234.4208,234.9079,235.4126,235.9491,236.5086,237.0707,237.6033,238.1173,238.6380,239.1620,239.7025,240.2447,240.7679,241.2953,241.8231,242.3410,242.8704,243.4039,243.9290,244.4446,244.9657,245.4921,246.0325,246.5651,247.0857,247.6161,248.1406,248.6591,249.1886,249.7215,250.2540
Player5OnsetTimes,200.4844,202.5968,203.2833,203.8876,204.5279,205.1657,206.3195,206.9688,207.3785,207.8633,209.0358,209.6741,210.1221,210.9811,211.5003,212.0769,212.7066,213.9292,214.5253,214.7940,215.4933,216.1032,216.6438,217.7831,218.4742,218.8805,219.5852,220.1161,221.1740,221.8378,222.2433,222.9545,223.4836,223.9862,224.5154,225.7933,226.5103,226.7819,227.1871,228.1138,228.7084,229.1665,229.6232,230.7458,231.4185,231.7301,232.1529,232.6197,233.1851,233.8022,234.4044,234.9393,235.4284,235.9184,236.4461,237.0079,237.5725,238.1173,238.6380,239.1468,239.6567,240.1935,240.7370,241.2798,241.8067,242.3254,242.8387,243.3560,243.8814,244.4125,244.9497,245.4767,246.0023,246.5345,247.0677,247.6013,248.1232,248.6420,249.1575,249.6899,250.2234
Player6OnsetTimes,200.4087,202.5188,203.2523,203.9189,204.5896,205.2125,206.2724,206.8900,207.3315,207.8633,209.0985,209.7353,210.1385,210.9042,211.4044,212.0303,212.7401,213.3939,214.5565,215.2133,215.5555,216.1654,216.6591,217.7358,218.4131,218.8485,219.6464,220.2099,221.1899,221.7929,222.1957,222.9692,223.5296,224.0166,224.5154,225.7477,226.4637,226.7657,227.2332,228.1890,228.7559,229.1665,229.5928,230.7128,231.4032,231.7301,232.1682,232.6350,233.1851,233.7856,234.3884,234.9393,235.4434,235.9335,236.4461,236.9926,237.5560,238.1173,238.6530,239.1620,239.6721,240.1935,240.7203,241.2637,241.8067,242.3410,242.8552,243.3716,243.8964,244.4286,244.9657,245.4921,246.0023,246.5192,247.0516,247.5834,248.1232,248.6591,249.1732,249.6899,250.2072
Player7OnsetTimes,200.1763,202.8005,203.7123,204.1817,204.5127,205.3532,205.9334,206.9522,207.6295,208.1202,208.9136,209.3624,209.8912,211.1862,211.8732,212.2858,212.6416,213.5361,214.1805,214.7455,215.3380,216.6108,217.2598,217.4656,218.1758,218.8029,219.3669,220.5476,221.2352,221.5799,222.2903,222.8323,223.3130,224.4829,225.1275,225.3924,225.9191,227.0147,227.6332,227.9148,228.4333,229.0283,229.6766,230.3303,230.9546,231.5596,232.1072,232.6968,233.2978,233.8641,234.3884,234.8924,235.3975,235.9335,236.4786,237.0228,237.5725,238.1020,238.6225,239.1468,239.6721,240.2101,240.7531,241.2798,241.8067,242.3254,242.8387,243.3716,243.9128,244.4446,244.9657,245.4767,246.0023,246.5345,247.0677,247.6013,248.1232,248.6420,249.1575,249.6899,250.2234
