Key,Value
BPM,60.0000
StartTime,4.2656
scoreCounter,2.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Mean Onset List,5.9339,8.0874
Mean Interval List,0.0000,1.0775
Timestamps,2.5815,2.8758,3.0628,3.2477,3.4144,3.5880,3.7594,3.9399,4.1085,4.2656,4.3259,4.6791,5.0879,5.4100,5.6867,5.9339,6.2616,6.5409,6.8187,7.1620,7.4802,7.8255,8.0783,8.4600,8.7687
Player1OnsetTimes,5.6114,8.2218
Player2OnsetTimes,5.6114,8.2218
Player3OnsetTimes,5.8497,7.9250,9.0841
Player4OnsetTimes,5.6235,8.2218
Player5OnsetTimes,6.3333,7.8878,8.6949
Player6OnsetTimes,6.1161,8.1872
Player7OnsetTimes,5.8497,7.9250,9.0841
Player8OnsetTimes,5.4717,8.0536
Player9OnsetTimes,5.5191,8.1016
Player10OnsetTimes,6.7205,8.2684,8.7920
Player11OnsetTimes,5.7874,7.8746,9.0726
Player12OnsetTimes,6.1883,8.2571
Player13OnsetTimes,6.9722,8.0070,8.3414
Player14OnsetTimes,5.4835,8.0659
Player15OnsetTimes,5.7874,7.8746,9.0726
Player16OnsetTimes,7.2334,8.2684,8.4114
Player17OnsetTimes,5.6994,8.2804
Player18OnsetTimes,5.6994,8.2804
Player19OnsetTimes,5.5657,8.1622
Player20OnsetTimes,6.3206,7.8878,8.6949
Player21OnsetTimes,5.4475,8.0423
Player22OnsetTimes,6.2616,7.8125,8.6716
Player23OnsetTimes,6.5889,8.1371,8.7548
Player24OnsetTimes,6.6966,8.2452,8.7804
Player25OnsetTimes,5.4835,8.0659
Player26OnsetTimes,5.5425,8.1259
Player27OnsetTimes,5.5425,8.1259
Player28OnsetTimes,5.5657,8.1622
Player29OnsetTimes,5.4954,8.0783
Player30OnsetTimes,5.9073,7.9836,9.0992
Player31OnsetTimes,5.6727,8.2571
Player32OnsetTimes,5.4954,8.0783
Player33OnsetTimes,6.0922,8.1622
Player34OnsetTimes,5.4835,8.0659
Player35OnsetTimes,5.6994,8.2804
Player36OnsetTimes,6.0456,8.1138
Player37OnsetTimes,5.5657,8.1622
Player38OnsetTimes,5.5073,8.0900
Player39OnsetTimes,5.4835,8.0659
Player40OnsetTimes,5.5996,8.1872
Player41OnsetTimes,5.4596,8.0536
Player42OnsetTimes,5.7243,8.3038
Player43OnsetTimes,5.4226,8.0193
Player44OnsetTimes,7.7854,8.3038,8.8269
Player45OnsetTimes,5.4226,8.0193
Player46OnsetTimes,6.0336,8.1016
Player47OnsetTimes,5.8623,7.9375,9.0841
Player48OnsetTimes,6.3568,7.9131,8.6949
Player49OnsetTimes,6.7447,8.2922,8.7920
Player50OnsetTimes,5.6479,8.2334
Player51OnsetTimes,6.1161,8.1872
Player52OnsetTimes,7.1620,8.2101,8.4114
Player53OnsetTimes,6.1645,8.2334
Player54OnsetTimes,5.4100,8.0070
Player55OnsetTimes,6.0456,8.1138
Player56OnsetTimes,6.1403,8.2218
Player57OnsetTimes,7.0193,8.0536,8.3533
Player58OnsetTimes,5.4475,8.0423
Player59OnsetTimes,5.6114,8.2218
Player60OnsetTimes,5.8497,7.9250,9.0841
Player61OnsetTimes,5.9594,8.0310,9.0992
Player62OnsetTimes,5.6357,8.2218
Player63OnsetTimes,5.9466,8.0193,9.0992
Player64OnsetTimes,7.0075,8.0423,8.3533
Player65OnsetTimes,6.3685,7.9250,8.7072
Player66OnsetTimes,6.1043,8.1756
Player67OnsetTimes,5.5191,8.1016
Player68OnsetTimes,5.5191,8.1016
Player69OnsetTimes,5.4475,8.0423
Player70OnsetTimes,5.9202,7.9955,9.0992
Player71OnsetTimes,5.7493,7.8373,9.0726
Player72OnsetTimes,6.7686,7.8005,8.7687
Player73OnsetTimes,5.5771,8.1622
Player74OnsetTimes,5.6867,8.2684
Player75OnsetTimes,5.7739,7.8626,9.0726
Player76OnsetTimes,6.8420,7.8878,8.3176
Player77OnsetTimes,6.0456,8.1138
Player78OnsetTimes,5.6727,8.2571
Player79OnsetTimes,5.6357,8.2218
Player80OnsetTimes,5.7116,8.2922
Player81OnsetTimes,5.6235,8.2218
Player82OnsetTimes,5.7995,7.8878,9.0841
Player83OnsetTimes,5.5542,8.1371
Player84OnsetTimes,5.8247,7.8998,9.0726
Player85OnsetTimes,5.7874,7.8746,9.0726
Player86OnsetTimes,5.4835,8.0659
Player87OnsetTimes,5.5073,8.0900
Player88OnsetTimes,5.6727,8.2571
Player89OnsetTimes,7.0312,8.0659,8.3533
Player90OnsetTimes,5.7739,7.8626,9.0726
Player91OnsetTimes,5.5073,8.0900
Player92OnsetTimes,6.4533,8.0070,8.7190
Player93OnsetTimes,6.0570,8.1259
Player94OnsetTimes,5.4596,8.0536
Player95OnsetTimes,5.7995,7.8878,9.0841
Player96OnsetTimes,7.3856,7.8998,8.4229
